fecha_precio;valor
2021-03-08;61874,86
2021-03-09;62366,96
2021-03-10;63629,32
2021-03-11;64934,39
2021-03-12;65894,19
2021-03-15;67734,87
2021-03-16;66647,03
2021-03-17;67069,63
2021-03-18;65286,04
2021-03-19;65828,00
2021-03-22;65957,10
2021-03-23;65197,99
2021-03-25;62793,80
2021-03-26;62252,20
2021-03-29;63097,93
2021-03-30;64182,01
2021-03-31;63946,01
2021-04-05;64741,35
2021-04-06;67052,31
2021-04-07;66679,33
2021-04-08;66090,49
2021-04-09;65079,62
2021-04-12;64051,65
2021-04-13;63531,86
2021-04-14;63049,04
2021-04-15;62712,90
2021-04-16;63566,88
2021-04-19;64047,96
2021-04-20;62510,35
2021-04-21;63459,70
2021-04-22;62753,29
2021-04-23;62866,65
2021-04-26;63717,27
2021-04-27;65294,05
2021-04-28;66700,33
2021-04-29;66708,17
2021-04-30;65335,74
2021-05-03;65081,04
2021-05-04;64710,54
2021-05-05;65418,26
2021-05-06;65727,87
2021-05-07;68590,78
2021-05-10;69087,78
2021-05-11;68085,12
2021-05-12;68025,92
2021-05-13;70294,47
2021-05-14;73311,62
2021-05-17;75233,08
2021-05-18;75202,19
2021-05-19;74992,92
2021-05-20;76558,12
2021-05-21;75331,88
2021-05-26;75847,45
2021-05-27;77200,46
2021-05-28;79545,62
2021-05-31;79530,29
2021-06-01;82157,03
2021-06-02;84101,04
2021-06-03;86336,96
2021-06-04;88903,42
2021-06-07;91929,05
2021-06-08;89338,07
2021-06-09;91752,02
2021-06-10;91798,73
2021-06-11;88773,90
2021-06-14;89628,84
2021-06-15;89917,62
2021-06-16;90831,18
2021-06-17;89064,57
2021-06-18;87272,84
2021-06-22;88366,13
2021-06-23;87936,82
2021-06-24;88570,96
2021-06-25;85869,97
2021-06-28;84231,80
2021-06-29;82725,13
2021-06-30;82203,15
2021-07-01;81799,14
2021-07-02;83348,18
2021-07-05;85310,11
2021-07-06;83166,00
2021-07-07;83210,59
2021-07-08;81852,88
2021-07-12;84688,14
2021-07-13;84856,95
2021-07-14;84239,72
2021-07-15;83363,24
2021-07-16;82712,48
2021-07-19;81550,86
2021-07-20;83206,95
2021-07-21;86302,46
2021-07-22;86055,90
2021-07-23;84830,37
2021-07-26;86014,92
2021-07-27;86058,80
2021-07-28;87045,13
2021-07-29;87762,44
2021-07-30;85773,64
2021-08-02;85591,46
2021-08-03;85874,10
2021-08-04;84685,14
2021-08-05;86083,21
2021-08-06;85871,13
2021-08-09;85873,16
2021-08-10;88708,87
2021-08-11;90696,17
2021-08-12;90278,16
2021-08-13;89875,81
2021-08-17;87817,55
2021-08-18;86595,82
2021-08-19;86183,09
2021-08-20;87743,15
2021-08-23;89775,15
2021-08-24;93670,77
2021-08-25;95081,15
2021-08-26;94705,47
2021-08-27;97019,84
2021-08-30;101705,25
