date,value
12-01-2021,722548
13-01-2021,784478
14-01-2021,762764
15-01-2021,736546
18-01-2021,705271
19-01-2021,715944
20-01-2021,752514
21-01-2021,760694
22-01-2021,776526
25-01-2021,783544
26-01-2021,763624
27-01-2021,728447
28-01-2021,759686
29-01-2021,650239
01-02-2021,773238
02-02-2021,775600
03-02-2021,779977
04-02-2021,765897
05-02-2021,751992
08-02-2021,797370
09-02-2021,748805
10-02-2021,746762
11-02-2021,692909
12-02-2021,665333
17-02-2021,905219
18-02-2021,854118
19-02-2021,871919
22-02-2021,821560
23-02-2021,730035
24-02-2021,699120
25-02-2021,665033
26-02-2021,589384
01-03-2021,693697
02-03-2021,691134
03-03-2021,812364
04-03-2021,816959
05-03-2021,818647
08-03-2021,773507
09-03-2021,752096
10-03-2021,812059
11-03-2021,753556
12-03-2021,726942
15-03-2021,722809
16-03-2021,642369
17-03-2021,629256
18-03-2021,617430
19-03-2021,650345
22-03-2021,664653
23-03-2021,647551
25-03-2021,694771
26-03-2021,659980
29-03-2021,687226
30-03-2021,697978
31-03-2021,604307
05-04-2021,1033935
06-04-2021,975195
07-04-2021,971761
08-04-2021,820372
09-04-2021,712495
12-04-2021,769704
13-04-2021,758446
14-04-2021,723323
15-04-2021,707920
16-04-2021,605624
19-04-2021,698499
20-04-2021,699469
21-04-2021,705308
22-04-2021,717821
23-04-2021,686640
26-04-2021,707524
27-04-2021,703709
28-04-2021,709383
29-04-2021,616757
30-04-2021,574366
03-05-2021,695175
04-05-2021,726108
05-05-2021,725283
06-05-2021,710032
07-05-2021,660970
10-05-2021,671207
11-05-2021,713888
12-05-2021,707460
13-05-2021,709876
14-05-2021,689910
17-05-2021,652631
18-05-2021,676330
19-05-2021,696133
20-05-2021,682734
21-05-2021,671733
26-05-2021,840664
27-05-2021,806705
28-05-2021,776384
31-05-2021,655825
01-06-2021,620425
02-06-2021,798712
03-06-2021,757695
04-06-2021,725222
07-06-2021,767926
08-06-2021,705122
09-06-2021,748839
10-06-2021,741969
11-06-2021,699083
14-06-2021,755664
15-06-2021,784706
16-06-2021,776338
17-06-2021,769750
18-06-2021,789277
22-06-2021,922217
23-06-2021,847284
24-06-2021,851936
25-06-2021,879622
28-06-2021,737240
29-06-2021,714606
30-06-2021,718939
01-07-2021,775257
02-07-2021,726978
05-07-2021,707131
06-07-2021,737962
07-07-2021,747146
08-07-2021,667803
12-07-2021,868758
13-07-2021,831833
14-07-2021,872731
15-07-2021,926520
16-07-2021,747914
19-07-2021,815076
20-07-2021,817142
21-07-2021,797749
22-07-2021,864289
23-07-2021,809865
26-07-2021,775593
27-07-2021,704925
28-07-2021,665183
29-07-2021,697105
30-07-2021,668877
02-08-2021,833005
03-08-2021,887842
04-08-2021,869327
05-08-2021,835513
06-08-2021,814041
09-08-2021,803468
10-08-2021,793007
11-08-2021,817521
12-08-2021,788157
13-08-2021,776511
17-08-2021,836025
18-08-2021,841792
19-08-2021,827980
20-08-2021,836289
23-08-2021,661010
24-08-2021,719848
25-08-2021,721157
26-08-2021,735455
27-08-2021,765468
30-08-2021,722643
31-08-2021,724366
01-09-2021,805132
02-09-2021,822039
03-09-2021,786205
06-09-2021,744520
07-09-2021,748461
08-09-2021,788923
09-09-2021,793443
10-09-2021,793022
13-09-2021,747376
14-09-2021,684020
15-09-2021,738443
16-09-2021,721175
17-09-2021,779996
20-09-2021,713827
21-09-2021,714003
22-09-2021,736112
23-09-2021,793975
24-09-2021,807440
27-09-2021,788845
28-09-2021,801196
29-09-2021,778664
30-09-2021,757922
01-10-2021,757696
04-10-2021,847129
05-10-2021,855254
06-10-2021,844987
07-10-2021,680834
12-10-2021,972452
13-10-2021,939706
14-10-2021,942960
15-10-2021,849106
18-10-2021,702844
19-10-2021,844373
20-10-2021,799226
21-10-2021,770878
22-10-2021,767881
25-10-2021,722275
26-10-2021,741492
27-10-2021,847233
28-10-2021,868286
29-10-2021,787268
01-11-2021,802647
02-11-2021,790467
03-11-2021,819164
04-11-2021,833458
05-11-2021,785886
08-11-2021,753351
09-11-2021,885061
10-11-2021,965594
11-11-2021,1046103
12-11-2021,1000032
15-11-2021,965550
16-11-2021,885728
17-11-2021,888983
18-11-2021,800332
19-11-2021,754461
23-11-2021,839667
24-11-2021,856406
25-11-2021,896810
26-11-2021,866948
29-11-2021,815615
30-11-2021,809335
01-12-2021,932641
02-12-2021,946254
03-12-2021,939998
06-12-2021,834267
07-12-2021,855581
09-12-2021,963611
10-12-2021,939455
13-12-2021,941722
14-12-2021,963958
15-12-2021,732307
16-12-2021,845705
17-12-2021,928364
20-12-2021,871768
21-12-2021,840584
22-12-2021,710319
23-12-2021,852338
27-12-2021,825405
28-12-2021,860770
29-12-2021,843684
30-12-2021,962636
03-01-2022,1226368
04-01-2022,1149701
05-01-2022,1249609
06-01-2022,1625404
07-01-2022,1062437
10-01-2022,1083069
11-01-2022,873556
12-01-2022,909749
13-01-2022,833460
14-01-2022,961726
17-01-2022,1093971
18-01-2022,931424
19-01-2022,923753
20-01-2022,887545
21-01-2022,894049
24-01-2022,1008561
25-01-2022,959564
26-01-2022,969729
27-01-2022,943797
28-01-2022,983152
31-01-2022,965251
01-02-2022,1210756
02-02-2022,1181531
03-02-2022,1046322
04-02-2022,1020725
07-02-2022,945615
08-02-2022,1058374
09-02-2022,1017156
10-02-2022,1052472
11-02-2022,1094242
14-02-2022,1238930
15-02-2022,1311897
16-02-2022,1228773
17-02-2022,1148085
18-02-2022,1059309
21-02-2022,1143251
22-02-2022,964375
23-02-2022,907781
24-02-2022,971719
25-02-2022,963084
02-03-2022,1084768
03-03-2022,958271
04-03-2022,911832
07-03-2022,939975
08-03-2022,940624
09-03-2022,986103
10-03-2022,956933
11-03-2022,987747
14-03-2022,1074931
15-03-2022,1085568
16-03-2022,1054975
17-03-2022,1206174
18-03-2022,1077936
21-03-2022,1028067
22-03-2022,1063562
23-03-2022,954334
25-03-2022,957380
28-03-2022,868935
29-03-2022,920621
30-03-2022,851980
31-03-2022,867983
01-04-2022,1109899
04-04-2022,1180336
05-04-2022,1029316
06-04-2022,909677
07-04-2022,981171
08-04-2022,966001
11-04-2022,974794
12-04-2022,1081805
13-04-2022,975720
18-04-2022,920556
19-04-2022,810260
20-04-2022,819927
21-04-2022,868393
22-04-2022,820503
25-04-2022,978051
26-04-2022,856782
27-04-2022,777876
28-04-2022,786094
29-04-2022,832355
02-05-2022,1052639
03-05-2022,1026674
04-05-2022,1025555
05-05-2022,973103
06-05-2022,1012208
09-05-2022,1024642
10-05-2022,964072
11-05-2022,1005869
12-05-2022,933675
13-05-2022,922500
16-05-2022,999769
17-05-2022,934848
19-05-2022,937710
20-05-2022,923868
23-05-2022,972507
24-05-2022,933552
26-05-2022,911484
27-05-2022,912146
30-05-2022,875992
31-05-2022,964104
01-06-2022,1170645
02-06-2022,1015318
03-06-2022,1000601
06-06-2022,1086292
07-06-2022,969879
08-06-2022,937192
09-06-2022,909080
10-06-2022,940410
13-06-2022,1008000
14-06-2022,976734
15-06-2022,974589
16-06-2022,965971
21-06-2022,963101
22-06-2022,868151
23-06-2022,893827
24-06-2022,878106
27-06-2022,920384
28-06-2022,929121
29-06-2022,904016
30-06-2022,910634
01-07-2022,1070691
04-07-2022,1125428
05-07-2022,1100575
06-07-2022,1113594
07-07-2022,1010179
08-07-2022,1001320
11-07-2022,1095083
12-07-2022,983471
13-07-2022,977610
14-07-2022,972064
15-07-2022,904776
18-07-2022,954274
19-07-2022,1051709
20-07-2022,954913
21-07-2022,960224
22-07-2022,992630
25-07-2022,992359
26-07-2022,1001385
27-07-2022,982372
28-07-2022,1011762
29-07-2022,1082527
01-08-2022,1120912
02-08-2022,1131251
03-08-2022,1096428
04-08-2022,1091963
05-08-2022,1035004
08-08-2022,1097867
09-08-2022,1095866
10-08-2022,1140581
11-08-2022,1042362
12-08-2022,1010071
16-08-2022,1103653
17-08-2022,1110429
18-08-2022,1017884
19-08-2022,1021494
22-08-2022,1074122
23-08-2022,942730
24-08-2022,997688
25-08-2022,1047300
26-08-2022,1027831
29-08-2022,1160566
30-08-2022,1041924
31-08-2022,1020623
01-09-2022,1146205
05-09-2022,1229291
06-09-2022,1205810
07-09-2022,1064238
08-09-2022,1035082
09-09-2022,949496
12-09-2022,1086972
13-09-2022,989536
14-09-2022,929796
15-09-2022,1096510
16-09-2022,948504
19-09-2022,1128204
20-09-2022,914115
21-09-2022,887893
22-09-2022,937864
23-09-2022,921700
26-09-2022,939123
27-09-2022,1004213
28-09-2022,866812
29-09-2022,991698
30-09-2022,904035
03-10-2022,984486
04-10-2022,926473
05-10-2022,1040509
06-10-2022,1038704
11-10-2022,1070563
12-10-2022,900370
13-10-2022,945731
14-10-2022,883309
17-10-2022,975921
18-10-2022,1007664
19-10-2022,940221
20-10-2022,1001628
21-10-2022,960551
24-10-2022,1037359
25-10-2022,958046
26-10-2022,988997
27-10-2022,1091440
28-10-2022,1028056
31-10-2022,1047072
01-11-2022,1075108
02-11-2022,1005920
03-11-2022,1014352
04-11-2022,1017498
07-11-2022,1099363
08-11-2022,1013221
09-11-2022,1010312
10-11-2022,1040463
11-11-2022,991062
14-11-2022,1012400
15-11-2022,1049105
16-11-2022,1027884
17-11-2022,1056136
18-11-2022,992057
22-11-2022,1229384
23-11-2022,1087880
24-11-2022,1054557
25-11-2022,1045680
28-11-2022,1171312
29-11-2022,1023891
30-11-2022,1078907
01-12-2022,1095557
02-12-2022,927976
05-12-2022,1077840
06-12-2022,994250
07-12-2022,996968
12-12-2022,1180441
13-12-2022,1077957
14-12-2022,1009135
15-12-2022,1168735
16-12-2022,1062780
