date,ticker,quantity,close_comp,close_ohlcv,spot
2019-10-02,TGNO4,6.661534,53.1,53.2,41388.15
2019-10-02,TGSU2,21.126924,113.9,114.0,41388.15
2019-10-02,TRAN,15.960783,21.95,21.9,41388.15
2019-10-02,TXAR,133.745477,15.95,16.0,41388.15
2019-10-02,VALO,63.766175,6.64,6.64,41388.15
2019-10-02,YPFD,11.257409,636.8,63.95,41388.15
2019-10-03,ALUA,61.063885,22.7,22.7,40712.24
2019-10-03,BBAR,15.534725,95.2,95.2,40712.24
2019-10-03,BMA,26.036217,168.8,168.95,40712.24
2019-10-03,BYMA,5.685271,220.5,2.22,40712.24
2019-10-03,CEPU,114.102676,19.4,19.6,40712.24
2019-10-03,COME,190.925484,1.58,1.58,40712.24
2019-10-03,CRES,23.051378,37.2,37.1,40712.24
2019-10-03,CVH,2.737311,182.25,182.5,40712.24
2019-10-03,EDN,30.603197,22.7,22.7,40712.24
2019-10-03,GGAL,86.840344,85.55,85.55,40712.24
2019-10-03,LOMA,8.761841,79.05,79.05,40712.24
2019-10-03,PAMP,104.627972,47.0,46.95,40712.24
2019-10-03,SUPV,22.357152,40.1,40.3,40712.24
2019-10-03,TECO2,7.375347,135.2,134.65,40712.24
2019-10-03,TGNO4,6.661534,53.3,53.4,40712.24
2019-10-03,TGSU2,21.126924,111.45,111.45,40712.24
2019-10-03,TRAN,15.960783,21.95,21.95,40712.24
2019-10-03,TXAR,133.745477,16.75,16.75,40712.24
2019-10-03,VALO,63.766175,6.42,6.5,40712.24
2019-10-03,YPFD,11.257409,620.9,61.96,40712.24
